"","state","count"
"1","Alaska",9
"2","Alabama",131
"3","Arkansas",120
"4","Arizona",112
"5","California",280
"6","Colorado",88
"7","Connecticut",33
"8","District of Columbia",3
"9","Florida",341
"10","Georgia",189
"11","Hawaii",10
"12","Iowa",60
"13","Idaho",26
"14","Illinois",161
"15","Indiana",113
"16","Kansas",74
"17","Kentucky",93
"18","Louisiana",116
"19","Massachusetts",48
"20","Maryland",48
"21","Maine",22
"22","Michigan",94
"23","Minnesota",68
"24","Missouri",137
"25","Mississippi",78
"26","Montana",14
"27","North Carolina",192
"28","North Dakota",14
"29","Nebraska",42
"30","New Hampshire",26
"31","New Jersey",62
"32","New Mexico",46
"33","Nevada",43
"34","New York",98
"35","Ohio",146
"36","Oklahoma",122
"37","Oregon",45
"38","Pennsylvania",134
"39","Rhode Island",9
"40","South Carolina",110
"41","South Dakota",15
"42","Tennessee",137
"43","Texas",517
"44","Utah",53
"45","Virginia",134
"46","Vermont",6
"47","Washington",66
"48","Wisconsin",89
"49","West Virginia",39
"50","Wyoming",12
